"full_name","platform","username","followers","engagement_rate","average_views","kategori_utama","niche_spesifik","base_rate","story_rate","post_rate","pp_rate","addon_owning","addon_boost","addon_link"
"Syahnaz","instagram","syahnazs","29677589","0.11","0","Beauty & Fashion; Family & Parenting","Parenting Tips; Modest Fashion (Hijab)","800000000","200000000","600000000","120000000","400000000","240000000","320000000"
"Shireensungkar","instagram","shireensungkar","27352880","0.07","0","Beauty & Fashion; Family & Parenting","Parenting Tips; Modest Fashion (Hijab)","4500000000","1125000000","3150000000","675000000","2250000000","1350000000","1800000000"
"Kartika Putri","instagram","kartikaputriworld","18091235","0.24","0","Family & Parenting","Parenting Tips","2000000000","500000000","1400000000","300000000","1000000000","600000000","800000000"
"Hesfinatia","tiktok","hesfinatia","14900000","0.78","1501480","Beauty & Fashion; Family & Parenting","Parenting Tips; MPASI & Baby Food; Modest Fashion (Hijab)","15000000","3750000","10000000","3000000","7500000","4500000","7500000"
"trishaazia","tiktok","trishaaazia","9500000","5.94","7652440","Beauty & Fashion; Family & Parenting","Parenting Tips; Makeup & Cosmetics; Modest Fashion (Hijab)","18000000","4500000","12000000","3600000","9000000","5400000","9000000"
"Ferdinan Sule","instagram","ferdinan_sule","7095314","0.05","0","Entertainment & Hobbies","Comedy & Parody","8000000","2000000","5600000","1200000","4000000","2400000","3200000"
"rklopperr","instagram","rklopperr","7011391","2.11","0","Beauty & Fashion","Skincare; Haircare; Luxury Fashion; Streetwear; Body Positivity","12000000","3150000","8400000","1800000","6000000","3600000","4800000"
"Happy Asmara 77","instagram","fadlyfsl_","6955202","1.20","0","Entertainment & Hobbies","Musisian","3450000000","862500000","2415000000","517500000","1725000000","1035000000","1380000000"
"Ibnu Wardani","instagram","ibnuwardani","6836621","2.74","0","Entertainment & Hobbies; Family & Parenting; Lifestyle & Travel","Prank & Challenge; Luxury Travel; Family Vlog; Couple & Relationship","3150000000","787500000","2205000000","472500000","1575000000","945000000","1260000000"
"Alfy saga","instagram","alfysaga","6531558","0.75","0","Entertainment & Hobbies","Comedy & Parody","600000000","150000000","400000000","90000000","300000000","180000000","240000000"
"lordjajan","tiktok","lordjajanofficial","5500000","0.65","518890","Food & Beverage","Street Food Reviewer; Mukbang","4500000","1125000","3000000","900000","2250000","1350000","2250000"
"jelitawidiaw","tiktok","jelitawidiaw","4900000","2.14","1334400","Beauty & Fashion","Skincare; Makeup & Cosmetics","4500000","1125000","3000000","900000","2250000","1350000","2250000"
"bellzky16","tiktok","ofc.bellzky16","4000000","0.54","579548","Family & Parenting","Parenting Tips; MPASI & Baby Food","5000000","1250000","3333333","1000000","2500000","1500000","2500000"
"Nanda Arsynt","instagram","nandaarsynt","3817999","5.27","0","Beauty & Fashion; Lifestyle & Travel","Makeup & Cosmetics; Glamping & Camping; Hidden Gems","4000000000","100000000","2800000000","600000000","2000000000","1200000000","1600000000"
"imasfahriaty_","tiktok","imasfahriaty_","3800000","0.08","44042","Beauty & Fashion; Family & Parenting; Lifestyle & Travel","Makeup & Cosmetics; Luxury Travel; Modest Fashion (Hijab); Streetwear; Working Mom Lifestyle","10000000","2500000","6666666","2000000","5000000","3000000","5000000"
"Putri Delina","instagram","putridelinaa","3381779","2.47","0","Entertainment & Hobbies","Musisian","3500000","875000","2450000","525000","1750000","1050000","1400000"
"rklopperr","tiktok","rkloppperr","3100000","13.10","3535360","Beauty & Fashion","Skincare; Haircare; Luxury Fashion; Streetwear; Body Positivity","14400000","3600000","9600000","2880000","7200000","4320000","7200000"
"Wahyu Kade","instagram","wahyukadeoo2","2912020","0.63","0","Beauty & Fashion; Finance & Business","Stock Market & Crypto; Streetwear","550000000","35000000","450000000","82500000","275000000","165000000","220000000"
"alminetaaz","tiktok","almineta","2800000","35.87","18592500","Beauty & Fashion; Lifestyle & Travel","Skincare; Makeup & Cosmetics; Modest Fashion (Hijab); Hidden Gems","2500000","625000","1666666","500000","1250000","750000","1250000"
"aganta7","instagram","aganta7","2392084","0.38","0","Lifestyle & Travel","Minimalist Living","500000","125000","350000","75000","250000","150000","200000"
"Taqy Malik","instagram","taqy_malik","2339126","0.42","0","Lifestyle & Travel","Minimalist Living","2200000000","550000000","1600000000","330000000","1100000000","660000000","880000000"
"aisyah_putri17","tiktok","aisyah_wanitakalem","2200000","1.71","487432","Beauty & Fashion","Makeup & Cosmetics; Modest Fashion (Hijab)","2600000","650000","1733333","520000","1300000","780000","1300000"
"sayalarimba","tiktok","sayalarimba","1400000","0.99","282760","Food & Beverage","Street Food Reviewer; Mukbang","3600000","900000","2400000","720000","1800000","1080000","1800000"
"Clarissaputri_","instagram","clarissaputri_","1316897","1.03","0","Beauty & Fashion; Family & Parenting","MPASI & Baby Food; Makeup & Cosmetics; Working Mom Lifestyle","800000000","150000000","400000000","120000000","400000000","240000000","320000000"
"Hesfinatia","instagram","hesfinatia","1296243","2.22","0","Beauty & Fashion; Family & Parenting","Parenting Tips; MPASI & Baby Food; Modest Fashion (Hijab)","11000000","1500000","7000000","400000","5500000","3300000","4400000"
"rizkeeeyyyyyyyy","tiktok","rizkeeeyyyyyy","1200000","0.82","234620","Food & Beverage","Street Food Reviewer; Mukbang","4000000","1000000","2666666","800000","2000000","1200000","2000000"
"rachma.fira","tiktok","rachmafira12","1100000","0.62","211230","Food & Beverage","Street Food Reviewer; Mukbang","1000000","250000","666666","200000","500000","300000","500000"
"Jeffry Reksa","instagram","jeffryreksaa","1016894","0.74","0","Food & Beverage; Health & Fitness; Lifestyle & Travel","Luxury Travel; Home Cooking & Recipes; Gym & Bodybuilding","3000000","750000","2100000","450000","1500000","900000","1200000"
"Nadia Nuraulya","instagram","nadianraulya","1010163","0.52","0","Beauty & Fashion; Lifestyle & Travel","Makeup & Cosmetics; Luxury Travel; Modest Fashion (Hijab); Streetwear","2450000","720000","1150000","150000","1225000","735000","980000"
"Sari Endah Pratiwi","instagram","saritiw","999965","0.43","0","Beauty & Fashion; Family & Parenting; Lifestyle & Travel","Parenting Tips; Skincare; Luxury Travel; Modest Fashion (Hijab)","2500000","1000000","1500000","375000","1250000","750000","1000000"
"aisyafputri","tiktok","aisyafputri","982500","0.15","18441","Beauty & Fashion; Family & Parenting","Parenting Tips; Makeup & Cosmetics; Modest Fashion (Hijab)","2750000","687500","1833333","550000","1375000","825000","1375000"
"imasfahriaty_","instagram","imasfahriaty_","876308","1.38","0","Beauty & Fashion; Family & Parenting; Lifestyle & Travel","Makeup & Cosmetics; Luxury Travel; Modest Fashion (Hijab); Streetwear; Working Mom Lifestyle","6000000","1650000","4000000","500000","3000000","1800000","2400000"
